sweep_q,pulse_shape,A0,delta0,A1,delta1,best_theta,fit_loss,unitarity_err
q0,cos,1.0,0.1,0.5,0.0,4.046797316488547,4.389835831274464,5.887007651712663e-06
q0,cos,1.2,-0.1,0.5,0.0,4.046797316488547,4.386308715646308,6.241916698474848e-06
q0,cos,1.2,-0.05,0.5,0.0,4.046797316488547,4.38635967831528,5.754606536975921e-06
q0,cos,1.2,0.0,0.5,0.0,4.046797316488547,4.386265348001641,6.836618495220181e-06
q0,cos,1.2,0.05000000000000002,0.5,0.0,4.046797316488547,4.38635967831528,5.754606536975921e-06
q0,cos,1.2,0.1,0.5,0.0,4.046797316488547,4.386308715646308,6.241916698474848e-06
q1,cos,0.5,0.0,0.2,-0.1,4.046797316488547,4.357754587646034,7.187547286289195e-06
q1,cos,0.5,0.0,0.2,-0.05,4.046797316488547,4.357861080357272,1.8610491455267526e-06
q1,cos,0.5,0.0,0.2,0.0,4.046797316488547,4.357708053989348,7.768039747228044e-06
q1,cos,0.5,0.0,0.2,0.05000000000000002,4.046797316488547,4.357861080357272,1.8610491455267526e-06
q1,cos,0.5,0.0,0.2,0.1,4.046797316488547,4.357754587646034,7.187547286289195e-06
q1,cos,0.5,0.0,0.4,-0.1,4.046797316488547,4.383121014065271,5.463012786628176e-06
q1,cos,0.5,0.0,0.4,-0.05,4.046797316488547,4.383130587242837,5.170242056649514e-06
q1,cos,0.5,0.0,0.4,0.0,4.046797316488547,4.383203103978729,1.049289800063052e-06
q1,cos,0.5,0.0,0.4,0.05000000000000002,4.046797316488547,4.383130587242837,5.170242056649514e-06
q1,cos,0.5,0.0,0.4,0.1,4.046797316488547,4.383121014065271,5.463012786628176e-06
q1,cos,0.5,0.0,0.6000000000000001,-0.1,3.940302650265164,4.429462369314139,3.5694046139094e-05
q1,cos,0.5,0.0,0.6000000000000001,-0.05,3.940302650265164,4.42960825167105,2.8952678979684593e-05
q1,cos,0.5,0.0,0.6000000000000001,0.0,3.940302650265164,4.429655073263111,2.7310483328054897e-05
q1,cos,0.5,0.0,0.6000000000000001,0.05000000000000002,3.940302650265164,4.42960825167105,2.8952678979684593e-05
q1,cos,0.5,0.0,0.6000000000000001,0.1,3.940302650265164,4.429462369314139,3.5694046139094e-05
q1,cos,0.5,0.0,0.8,-0.1,3.833807984041781,4.49256151127025,3.048446488954882e-05
q1,cos,0.5,0.0,0.8,-0.05,3.833807984041781,4.492670713157345,5.6454527256920536e-05
q1,cos,0.5,0.0,0.8,0.0,3.833807984041781,4.492699165985809,6.745672513103647e-05
q1,cos,0.5,0.0,0.8,0.05000000000000002,3.833807984041781,4.492670713157345,5.6454527256920536e-05
q1,cos,0.5,0.0,0.8,0.1,3.833807984041781,4.49256151127025,3.048446488954882e-05
q1,cos,0.5,0.0,1.0,-0.1,3.7273133178183984,4.559370935772442,5.911502960424025e-05
q1,cos,0.5,0.0,1.0,-0.05,3.7273133178183984,4.559624066675446,5.299314453652679e-05
q1,cos,0.5,0.0,1.0,0.0,3.7273133178183984,4.559802651933352,2.2616326617525555e-05
q1,cos,0.5,0.0,1.0,0.05000000000000002,3.7273133178183984,4.559624066675446,5.299314453652679e-05
q1,cos,0.5,0.0,1.0,0.1,3.7273133178183984,4.559370935772442,5.911502960424025e-05
q1,cos,0.5,0.0,1.2,-0.1,3.6208186515950156,4.605778855694846,6.188596653890033e-05
q1,cos,0.5,0.0,1.2,-0.05,3.6208186515950156,4.605949238028701,5.730188822608244e-05
q1,cos,0.5,0.0,1.2,0.0,3.6208186515950156,4.6059928918123765,5.964965644579345e-05
q1,cos,0.5,0.0,1.2,0.05000000000000002,3.6208186515950156,4.605949238028701,5.730188822608244e-05
q1,cos,0.5,0.0,1.2,0.1,3.6208186515950156,4.605778855694846,6.188596653890033e-05
q0,chirp,0.2,-0.1,0.5,0.0,3.940302650265164,4.418097879475594,3.00570333833446e-05
