sweep_q,pulse_shape,A0,delta0,A1,delta1,best_theta,fit_loss,unitarity_err
q1,chirp,0.5,0.0,0.4,-0.05,4.046797316488547,4.369059764426158,6.883146043787012e-06
q1,chirp,0.5,0.0,0.4,0.0,4.046797316488547,4.368519530897905,7.416169106301593e-06
q1,chirp,0.5,0.0,0.4,0.05000000000000002,4.046797316488547,4.36806839016582,7.49601928467097e-06
q1,chirp,0.5,0.0,0.4,0.1,4.046797316488547,4.367477256181737,7.482130876504585e-06
q1,chirp,0.5,0.0,0.6000000000000001,-0.1,4.046797316488547,4.39201297812893,5.059521846912754e-06
q1,chirp,0.5,0.0,0.6000000000000001,-0.05,4.046797316488547,4.390735281585781,7.782381558695063e-06
q1,chirp,0.5,0.0,0.6000000000000001,0.0,4.046797316488547,4.389551315894667,7.605505019789558e-06
q1,chirp,0.5,0.0,0.6000000000000001,0.05000000000000002,4.046797316488547,4.388468066273783,6.325651220959641e-06
q1,chirp,0.5,0.0,0.6000000000000001,0.1,4.046797316488547,4.387430894415518,2.361362424077141e-06
q1,chirp,0.5,0.0,0.8,-0.1,3.940302650265164,4.4192691572143445,3.6113455640999185e-05
q1,chirp,0.5,0.0,0.8,-0.05,3.940302650265164,4.417580627900403,2.92424992208871e-05
q1,chirp,0.5,0.0,0.8,0.0,3.940302650265164,4.415852268041904,2.3012552322985602e-05
q1,chirp,0.5,0.0,0.8,0.05000000000000002,3.940302650265164,4.414179883771167,1.5948108887269393e-05
q1,chirp,0.5,0.0,0.8,0.1,3.940302650265164,4.412547961851062,2.8532015336750757e-05
q1,chirp,0.5,0.0,1.0,-0.1,3.940302650265164,4.452895485155582,3.4922478507577524e-05
q1,chirp,0.5,0.0,1.0,-0.05,3.940302650265164,4.450109942444993,3.72736557632716e-05
q1,chirp,0.5,0.0,1.0,0.0,3.940302650265164,4.447419263807763,3.532068312741205e-05
q1,chirp,0.5,0.0,1.0,0.05000000000000002,3.940302650265164,4.444864876152816,3.436578610634686e-05
q1,chirp,0.5,0.0,1.0,0.1,3.940302650265164,4.442225071283758,4.234721631716835e-05
q1,chirp,0.5,0.0,1.2,-0.1,3.833807984041781,4.489417551404819,1.6339193577516837e-05
q1,chirp,0.5,0.0,1.2,-0.05,3.833807984041781,4.4861416677768835,1.7419028381354335e-05
q1,chirp,0.5,0.0,1.2,0.0,3.833807984041781,4.482814928504528,5.8590736988162324e-05
q1,chirp,0.5,0.0,1.2,0.05000000000000002,3.833807984041781,4.479730697145987,5.378812926780838e-05
q1,chirp,0.5,0.0,1.2,0.1,3.833807984041781,4.476737534495305,4.292200962006725e-05
